"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","14","17","30","44","55","기능장","위험물기능장","4사분기","1","전라남도","2017","160"
"2","48","28","16","0","0","기능장","전기기능장","4사분기","2","전라남도","2017","92"
"3","12","13","12","22","20","기능장","배관기능장","4사분기","3","전라남도","2017","79"
"4","8","17","22","13","15","기능장","에너지관리기능장","4사분기","4","전라남도","2017","75"
"5","7","1","9","15","38","기능장","가스기능장","4사분기","5","전라남도","2017","70"
"6","21","21","24","0","0","기능장","용접기능장","4사분기","6","전라남도","2017","66"
"7","1","2","4","7","13","기능장","제강기능장","4사분기","7","전라남도","2017","27"
"8","0","1","7","13","1","기능장","압연기능장","4사분기","8","전라남도","2017","22"
"9","3","1","0","2","7","기능장","금속재료기능장","4사분기","9","전라남도","2017","13"
"10","0","0","1","1","3","기능장","주조기능장","4사분기","10","전라남도","2017","5"
"11","0","0","1","3","1","기능장","자동차정비기능장","4사분기","10","전라남도","2017","5"
"12","0","1","3","0","0","기능장","미용장","4사분기","12","전라남도","2017","4"
"13","3","0","1","0","0","기능장","기계가공기능장","4사분기","12","전라남도","2017","4"
"14","2","1","0","0","0","기능장","전자기기기능장","4사분기","14","전라남도","2017","3"
"15","1","1","0","0","0","기능장","조리기능장","4사분기","15","전라남도","2017","2"
"16","0","0","0","1","1","기능장","건설기계정비기능장","4사분기","15","전라남도","2017","2"
"17","1","0","0","0","0","기능장","제과기능장","4사분기","17","전라남도","2017","1"
"18","1","0","0","0","0","기능장","이용장","4사분기","17","전라남도","2017","1"
"19","1","0","0","0","0","기능장","제선기능장","4사분기","17","전라남도","2017","1"
