"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","48","12","35","43","기능장","전기기능장","2사분기","1","전라남도","2016","138"
"2","0","7","41","20","61","기능장","위험물기능장","2사분기","2","전라남도","2016","129"
"3","0","28","15","17","22","기능장","용접기능장","2사분기","3","전라남도","2016","82"
"4","0","11","28","17","20","기능장","배관기능장","2사분기","4","전라남도","2016","76"
"5","0","1","2","8","30","기능장","제선기능장","2사분기","5","전라남도","2016","41"
"6","0","3","6","9","16","기능장","가스기능장","2사분기","6","전라남도","2016","34"
"7","0","0","1","12","16","기능장","압연기능장","2사분기","7","전라남도","2016","29"
"8","0","9","1","7","12","기능장","에너지관리기능장","2사분기","7","전라남도","2016","29"
"9","0","4","3","1","12","기능장","제강기능장","2사분기","9","전라남도","2016","20"
"10","0","1","2","3","2","기능장","조리기능장","2사분기","10","전라남도","2016","8"
"11","0","1","0","3","4","기능장","금속재료기능장","2사분기","10","전라남도","2016","8"
"12","0","0","1","0","4","기능장","기계가공기능장","2사분기","12","전라남도","2016","5"
"13","0","1","0","1","3","기능장","미용장","2사분기","12","전라남도","2016","5"
"14","0","3","0","0","0","기능장","전자기기기능장","2사분기","14","전라남도","2016","3"
"15","0","0","0","0","2","기능장","이용장","2사분기","15","전라남도","2016","2"
"16","0","0","1","0","0","기능장","건축목재시공기능장","2사분기","16","전라남도","2016","1"
"17","0","0","0","0","1","기능장","제과기능장","2사분기","16","전라남도","2016","1"
"18","0","0","0","1","0","기능장","판금제관기능장","2사분기","16","전라남도","2016","1"
"19","0","0","0","1","0","기능장","금형제작기능장","2사분기","16","전라남도","2016","1"
