"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","0","0","14","기능장","전자기기기능장","3사분기","1","서울특별시","2016","14"
"2","0","0","0","0","14","기능장","전기기능장","3사분기","1","서울특별시","2016","14"
"3","0","0","0","0","10","기능장","용접기능장","3사분기","3","서울특별시","2016","10"
"4","0","0","0","0","5","기능장","기계가공기능장","3사분기","4","서울특별시","2016","5"
"5","0","0","0","0","4","기능장","조리기능장","3사분기","5","서울특별시","2016","4"
"6","0","0","0","0","4","기능장","이용장","3사분기","5","서울특별시","2016","4"
"7","0","0","0","0","4","기능장","귀금속가공기능장","3사분기","5","서울특별시","2016","4"
"8","0","0","0","0","3","기능장","제과기능장","3사분기","8","서울특별시","2016","3"
"9","0","0","0","0","2","기능장","건축일반시공기능장","3사분기","9","서울특별시","2016","2"
"10","0","0","0","0","1","기능장","미용장","3사분기","10","서울특별시","2016","1"
