"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","0","48","12","기능장","전기기능장","2사분기","1","전라남도","2014","60"
"2","0","0","0","7","41","기능장","위험물기능장","2사분기","2","전라남도","2014","48"
"3","0","0","0","28","15","기능장","용접기능장","2사분기","3","전라남도","2014","43"
"4","0","0","0","11","28","기능장","배관기능장","2사분기","4","전라남도","2014","39"
"5","0","0","0","9","1","기능장","에너지관리기능장","2사분기","5","전라남도","2014","10"
"6","0","0","0","3","6","기능장","가스기능장","2사분기","6","전라남도","2014","9"
"7","0","0","0","4","3","기능장","제강기능장","2사분기","7","전라남도","2014","7"
"8","0","0","0","3","0","기능장","전자기기기능장","2사분기","8","전라남도","2014","3"
"9","0","0","0","1","2","기능장","조리기능장","2사분기","8","전라남도","2014","3"
"10","0","0","0","1","2","기능장","제선기능장","2사분기","8","전라남도","2014","3"
"11","0","0","0","1","0","기능장","금속재료기능장","2사분기","11","전라남도","2014","1"
"12","0","0","0","0","1","기능장","건축목재시공기능장","2사분기","11","전라남도","2014","1"
"13","0","0","0","0","1","기능장","기계가공기능장","2사분기","11","전라남도","2014","1"
"14","0","0","0","1","0","기능장","미용장","2사분기","11","전라남도","2014","1"
"15","0","0","0","0","1","기능장","압연기능장","2사분기","11","전라남도","2014","1"
