"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","0","0","72","기능장","위험물기능장","3사분기","1","서울특별시","2018","72"
"2","0","0","14","28","15","기능장","전기기능장","3사분기","2","서울특별시","2018","57"
"3","0","0","4","14","8","기능장","조리기능장","3사분기","3","서울특별시","2018","26"
"4","0","0","14","10","2","기능장","전자기기기능장","3사분기","3","서울특별시","2018","26"
"5","0","0","3","10","12","기능장","제과기능장","3사분기","5","서울특별시","2018","25"
"6","0","0","1","7","7","기능장","미용장","3사분기","6","서울특별시","2018","15"
"7","0","0","0","0","15","기능장","에너지관리기능장","3사분기","6","서울특별시","2018","15"
"8","0","0","10","2","0","기능장","용접기능장","3사분기","8","서울특별시","2018","12"
"9","0","0","0","0","11","기능장","배관기능장","3사분기","9","서울특별시","2018","11"
"10","0","0","4","1","5","기능장","이용장","3사분기","10","서울특별시","2018","10"
"11","0","0","5","1","4","기능장","기계가공기능장","3사분기","10","서울특별시","2018","10"
"12","0","0","0","0","8","기능장","자동차정비기능장","3사분기","12","서울특별시","2018","8"
"13","0","0","4","3","1","기능장","귀금속가공기능장","3사분기","12","서울특별시","2018","8"
"14","0","0","0","0","7","기능장","철도차량정비기능장","3사분기","14","서울특별시","2018","7"
"15","0","0","0","0","5","기능장","가스기능장","3사분기","15","서울특별시","2018","5"
"16","0","0","2","0","0","기능장","건축일반시공기능장","3사분기","16","서울특별시","2018","2"
"17","0","0","0","0","2","기능장","금속재료기능장","3사분기","16","서울특별시","2018","2"
"18","0","0","0","0","2","기능장","주조기능장","3사분기","16","서울특별시","2018","2"
"19","0","0","0","0","1","기능장","제강기능장","3사분기","19","서울특별시","2018","1"
"20","0","0","0","0","1","기능장","표면처리기능장","3사분기","19","서울특별시","2018","1"
