"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","14","17","30","44","기능장","위험물기능장","4사분기","1","전라남도","2016","105"
"2","0","48","28","16","0","기능장","전기기능장","4사분기","2","전라남도","2016","92"
"3","0","21","21","24","0","기능장","용접기능장","4사분기","3","전라남도","2016","66"
"4","0","8","17","22","13","기능장","에너지관리기능장","4사분기","4","전라남도","2016","60"
"5","0","12","13","12","22","기능장","배관기능장","4사분기","5","전라남도","2016","59"
"6","0","7","1","9","15","기능장","가스기능장","4사분기","6","전라남도","2016","32"
"7","0","0","1","7","13","기능장","압연기능장","4사분기","7","전라남도","2016","21"
"8","0","1","2","4","7","기능장","제강기능장","4사분기","8","전라남도","2016","14"
"9","0","3","1","0","2","기능장","금속재료기능장","4사분기","9","전라남도","2016","6"
"10","0","0","1","3","0","기능장","미용장","4사분기","10","전라남도","2016","4"
"11","0","0","0","1","3","기능장","자동차정비기능장","4사분기","10","전라남도","2016","4"
"12","0","3","0","1","0","기능장","기계가공기능장","4사분기","10","전라남도","2016","4"
"13","0","2","1","0","0","기능장","전자기기기능장","4사분기","13","전라남도","2016","3"
"14","0","1","1","0","0","기능장","조리기능장","4사분기","14","전라남도","2016","2"
"15","0","0","0","1","1","기능장","주조기능장","4사분기","14","전라남도","2016","2"
"16","0","1","0","0","0","기능장","이용장","4사분기","16","전라남도","2016","1"
"17","0","0","0","0","1","기능장","건설기계정비기능장","4사분기","16","전라남도","2016","1"
"18","0","1","0","0","0","기능장","제선기능장","4사분기","16","전라남도","2016","1"
"19","0","1","0","0","0","기능장","제과기능장","4사분기","16","전라남도","2016","1"
