"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","48","12","35","기능장","전기기능장","2사분기","1","전라남도","2015","95"
"2","0","0","7","41","20","기능장","위험물기능장","2사분기","2","전라남도","2015","68"
"3","0","0","28","15","17","기능장","용접기능장","2사분기","3","전라남도","2015","60"
"4","0","0","11","28","17","기능장","배관기능장","2사분기","4","전라남도","2015","56"
"5","0","0","3","6","9","기능장","가스기능장","2사분기","5","전라남도","2015","18"
"6","0","0","9","1","7","기능장","에너지관리기능장","2사분기","6","전라남도","2015","17"
"7","0","0","0","1","12","기능장","압연기능장","2사분기","7","전라남도","2015","13"
"8","0","0","1","2","8","기능장","제선기능장","2사분기","8","전라남도","2015","11"
"9","0","0","4","3","1","기능장","제강기능장","2사분기","9","전라남도","2015","8"
"10","0","0","1","2","3","기능장","조리기능장","2사분기","10","전라남도","2015","6"
"11","0","0","1","0","3","기능장","금속재료기능장","2사분기","11","전라남도","2015","4"
"12","0","0","3","0","0","기능장","전자기기기능장","2사분기","12","전라남도","2015","3"
"13","0","0","1","0","1","기능장","미용장","2사분기","13","전라남도","2015","2"
"14","0","0","0","1","0","기능장","건축목재시공기능장","2사분기","14","전라남도","2015","1"
"15","0","0","0","1","0","기능장","기계가공기능장","2사분기","14","전라남도","2015","1"
"16","0","0","0","0","1","기능장","판금제관기능장","2사분기","14","전라남도","2015","1"
"17","0","0","0","0","1","기능장","금형제작기능장","2사분기","14","전라남도","2015","1"
