"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","48","12","35","43","23","기능장","전기기능장","2사분기","1","전라남도","2017","161"
"2","7","41","20","61","10","기능장","위험물기능장","2사분기","2","전라남도","2017","139"
"3","28","15","17","22","19","기능장","용접기능장","2사분기","3","전라남도","2017","101"
"4","11","28","17","20","24","기능장","배관기능장","2사분기","4","전라남도","2017","100"
"5","3","6","9","16","45","기능장","가스기능장","2사분기","5","전라남도","2017","79"
"6","1","2","8","30","22","기능장","제선기능장","2사분기","6","전라남도","2017","63"
"7","9","1","7","12","18","기능장","에너지관리기능장","2사분기","7","전라남도","2017","47"
"8","0","1","12","16","6","기능장","압연기능장","2사분기","8","전라남도","2017","35"
"9","4","3","1","12","5","기능장","제강기능장","2사분기","9","전라남도","2017","25"
"10","1","0","3","4","6","기능장","금속재료기능장","2사분기","10","전라남도","2017","14"
"11","1","0","1","3","5","기능장","미용장","2사분기","11","전라남도","2017","10"
"12","1","2","3","2","0","기능장","조리기능장","2사분기","12","전라남도","2017","8"
"13","0","1","0","4","1","기능장","기계가공기능장","2사분기","13","전라남도","2017","6"
"14","3","0","0","0","0","기능장","전자기기기능장","2사분기","14","전라남도","2017","3"
"15","0","0","0","2","0","기능장","이용장","2사분기","15","전라남도","2017","2"
"16","0","1","0","0","0","기능장","건축목재시공기능장","2사분기","16","전라남도","2017","1"
"17","0","0","0","1","0","기능장","제과기능장","2사분기","16","전라남도","2017","1"
"18","0","0","1","0","0","기능장","판금제관기능장","2사분기","16","전라남도","2017","1"
"19","0","0","1","0","0","기능장","금형제작기능장","2사분기","16","전라남도","2017","1"
